scenario,policy,scenario_seed,requests,delivered,on_time,rejected,priority_requests,priority_on_time,unfinished,travel_ticks,distance,energy_used,energy_charged,delay,reward,on_time_rate,completion_rate,priority_service,distance_per_delivery,mean_delay,latency_median_ms
standard,ddqn_202,1000102,30,22,14,4,8,5,4,84,72,72,48,101,92.22999999999999,0.4666666666666667,0.7333333333333333,0.625,3.272727272727273,4.590909090909091,0.1290595000114081
standard,ddqn_202,1000103,38,26,12,9,11,6,3,85,77,77,45,69,118.29999999999998,0.3157894736842105,0.6842105263157895,0.5454545454545454,2.9615384615384617,2.6538461538461537,0.1320490000296104
standard,ddqn_202,1000104,23,21,12,0,6,5,2,80,63,63,46,64,187.95999999999995,0.5217391304347826,0.9130434782608695,0.8333333333333334,3.0,3.0476190476190474,0.13327599998547157
standard,ddqn_202,1000105,32,24,11,8,13,9,0,82,70,70,40,135,133.14999999999998,0.34375,0.75,0.6923076923076923,2.9166666666666665,5.625,0.12925050000944793
standard,ddqn_202,1000106,32,22,7,7,8,4,3,82,74,74,42,136,68.72,0.21875,0.6875,0.5,3.3636363636363638,6.181818181818182,0.129630499969835
standard,ddqn_202,1000107,34,16,9,12,6,3,6,82,66,66,42,96,-154.43,0.2647058823529412,0.47058823529411764,0.5,4.125,6.0,0.1310675000070205
standard,ddqn_202,1000108,30,20,10,6,5,3,4,85,69,69,39,145,10.239999999999988,0.3333333333333333,0.6666666666666666,0.6,3.45,7.25,0.128152999991471
standard,ddqn_202,1000109,32,19,11,9,8,5,4,77,67,67,39,69,-7.85999999999995,0.34375,0.59375,0.625,3.526315789473684,3.6315789473684212,0.128679000027887
standard,ddqn_202,1000110,19,18,17,0,5,5,1,81,69,69,44,4,187.04,0.8947368421052632,0.9473684210526315,1.0,3.8333333333333335,0.2222222222222222,0.1092294999978094
standard,ddqn_202,1000111,41,16,7,18,11,2,7,75,65,65,45,121,-335.59999999999997,0.17073170731707318,0.3902439024390244,0.18181818181818182,4.0625,7.5625,0.13352100000929568
standard,ddqn_202,1000112,35,20,10,12,8,4,3,83,65,65,45,114,-49.40000000000003,0.2857142857142857,0.5714285714285714,0.5,3.25,5.7,0.12874000000806518
standard,ddqn_202,1000113,33,22,12,6,6,5,5,82,77,77,42,65,75.51999999999995,0.36363636363636365,0.6666666666666666,0.8333333333333334,3.5,2.9545454545454546,0.12915450002992657
standard,ddqn_202,1000114,36,21,10,12,13,6,3,86,71,71,42,130,-45.72999999999999,0.2777777777777778,0.5833333333333334,0.46153846153846156,3.380952380952381,6.190476190476191,0.1296200000240333
standard,ddqn_202,1000115,38,22,11,13,12,6,3,86,76,76,45,125,-32.69999999999997,0.2894736842105263,0.5789473684210527,0.5,3.4545454545454546,5.681818181818182,0.12887400001204696
standard,ddqn_202,1000116,32,19,9,9,10,5,4,79,71,71,46,92,-46.039999999999964,0.28125,0.59375,0.5,3.736842105263158,4.842105263157895,0.13125799998192633
standard,ddqn_202,1000117,21,17,11,0,3,3,4,80,66,66,36,53,91.21000000000001,0.5238095238095238,0.8095238095238095,1.0,3.8823529411764706,3.1176470588235294,0.11930549999306095
standard,ddqn_202,1000118,32,20,6,8,11,1,4,77,67,67,31,116,-28.939999999999984,0.1875,0.625,0.09090909090909091,3.35,5.8,0.12938550003127602
standard,ddqn_202,1000119,34,20,8,9,4,1,5,84,66,66,39,104,-66.31000000000002,0.23529411764705882,0.5882352941176471,0.25,3.3,5.2,0.13210449998268814
standard,ddqn_202,1000120,23,18,11,1,4,3,4,73,65,65,42,68,87.77000000000015,0.4782608695652174,0.782608695652174,0.75,3.611111111111111,3.7777777777777777,0.12170400003697068
standard,ddqn_202,1000121,32,21,9,8,5,2,3,82,72,72,45,116,22.899999999999974,0.28125,0.65625,0.4,3.4285714285714284,5.523809523809524,0.12541949999445023
standard,ddqn_202,1000122,33,23,13,7,8,5,3,82,70,70,43,74,104.93,0.3939393939393939,0.696969696969697,0.625,3.0434782608695654,3.217391304347826,0.12422749998108884
standard,ddqn_202,1000123,27,25,17,0,11,9,2,85,71,71,39,50,283.03999999999996,0.6296296296296297,0.9259259259259259,0.8181818181818182,2.84,2.0,0.11771750001798864
standard,ddqn_202,1000124,36,22,11,9,10,6,5,81,73,73,48,63,-4.22000000000002,0.3055555555555556,0.6111111111111112,0.6,3.3181818181818183,2.8636363636363638,0.13144249999186286
standard,ddqn_202,1000125,32,19,11,8,12,6,5,82,70,70,49,90,-27.76000000000002,0.34375,0.59375,0.5,3.6842105263157894,4.7368421052631575,0.12696600001049774
standard,ddqn_202,1000126,29,18,9,7,6,2,4,91,67,67,34,112,-50.36000000000001,0.3103448275862069,0.6206896551724138,0.3333333333333333,3.7222222222222223,6.222222222222222,0.12944499999889558
standard,ddqn_202,1000127,28,21,13,0,4,3,7,85,70,70,51,29,101.01000000000003,0.4642857142857143,0.75,0.75,3.3333333333333335,1.380952380952381,0.1257945000077143
standard,ddqn_202,1000128,34,22,11,7,9,5,5,80,71,71,36,126,31.109999999999964,0.3235294117647059,0.6470588235294118,0.5555555555555556,3.227272727272727,5.7272727272727275,0.13207949999127777
standard,ddqn_202,1000129,20,19,15,0,4,4,1,83,71,71,42,40,172.8699999999999,0.75,0.95,1.0,3.736842105263158,2.1052631578947367,0.11335600001416424
standard,ddqn_202,1000130,37,22,7,12,7,3,3,87,73,73,48,149,-31.67000000000005,0.1891891891891892,0.5945945945945946,0.42857142857142855,3.3181818181818183,6.7727272727272725,0.13130299998920236
standard,ddqn_202,1000131,30,18,12,5,10,5,7,81,69,69,45,67,-37.24999999999994,0.4,0.6,0.5,3.8333333333333335,3.7222222222222223,0.1266714999985652
standard,ddqn_202,1000132,33,20,10,8,6,4,5,84,72,72,43,78,-0.9199999999999733,0.30303030303030304,0.6060606060606061,0.6666666666666666,3.6,3.9,0.1291350000087732
standard,ddqn_202,1000133,37,24,13,9,7,7,4,86,72,72,42,91,81.02000000000004,0.35135135135135137,0.6486486486486487,1.0,3.0,3.7916666666666665,0.12893949997305754
standard,ddqn_202,1000134,32,19,5,11,12,3,2,76,67,67,33,189,-69.02,0.15625,0.59375,0.25,3.526315789473684,9.947368421052632,0.13076199999773053
standard,ddqn_202,1000135,21,20,16,0,5,4,1,82,70,70,51,31,191.75999999999993,0.7619047619047619,0.9523809523809523,0.8,3.5,1.55,0.11513349997471778
standard,ddqn_202,1000136,33,23,12,8,5,2,2,75,65,65,51,54,81.26000000000002,0.36363636363636365,0.696969696969697,0.4,2.8260869565217392,2.347826086956522,0.12967100002470033
standard,ddqn_202,1000137,30,22,12,6,7,6,2,83,76,76,45,147,106.39999999999999,0.4,0.7333333333333333,0.8571428571428571,3.4545454545454546,6.681818181818182,0.13829349998673024
standard,ddqn_202,1000138,35,20,10,9,4,0,6,86,74,74,42,86,-94.38000000000001,0.2857142857142857,0.5714285714285714,0.0,3.7,4.3,0.12928999998962354
standard,ddqn_202,1000139,21,16,13,0,5,3,5,80,62,62,33,18,47.08000000000003,0.6190476190476191,0.7619047619047619,0.6,3.875,1.125,0.11646049998148555
standard,ddqn_202,1000140,22,19,11,0,2,2,3,83,66,66,45,52,116.15000000000003,0.5,0.8636363636363636,1.0,3.473684210526316,2.736842105263158,0.12337600000478233
standard,ddqn_202,1000141,32,19,8,10,10,5,3,85,69,69,39,176,-47.959999999999994,0.25,0.59375,0.5,3.6315789473684212,9.263157894736842,0.12944599998832018
standard,ddqn_202,1000142,33,20,7,9,2,0,4,85,73,73,37,138,-61.28,0.21212121212121213,0.6060606060606061,0.0,3.65,6.9,0.12850899997829401
standard,ddqn_202,1000143,30,17,9,7,10,3,6,77,63,63,48,64,-92.76999999999998,0.3,0.5666666666666667,0.3,3.7058823529411766,3.764705882352941,0.1263599999958842
standard,ddqn_202,1000144,34,17,6,11,9,3,6,81,69,69,53,135,-84.47000000000001,0.17647058823529413,0.5,0.3333333333333333,4.0588235294117645,7.9411764705882355,0.13084249999906206
standard,ddqn_202,1000145,28,21,16,2,2,2,5,85,70,70,36,63,86.50999999999999,0.5714285714285714,0.75,1.0,3.3333333333333335,3.0,0.12415200001214544
standard,ddqn_202,1000146,30,17,7,7,11,6,6,85,73,73,45,110,-34.45000000000002,0.23333333333333334,0.5666666666666667,0.5454545454545454,4.294117647058823,6.470588235294118,0.13246500000718697
standard,ddqn_202,1000147,26,18,8,3,6,5,5,80,64,64,39,110,8.940000000000012,0.3076923076923077,0.6923076923076923,0.8333333333333334,3.5555555555555554,6.111111111111111,0.13067699998714488
standard,ddqn_202,1000148,37,21,11,13,5,4,3,84,76,76,42,120,-11.729999999999972,0.2972972972972973,0.5675675675675675,0.8,3.619047619047619,5.714285714285714,0.13123749999977008
standard,ddqn_202,1000149,31,18,8,6,7,4,7,84,74,74,48,94,-33.519999999999996,0.25806451612903225,0.5806451612903226,0.5714285714285714,4.111111111111111,5.222222222222222,0.13168850000511156
standard,ddqn_303,1000000,42,18,9,19,10,4,5,74,66,66,36,124,-231.59,0.21428571428571427,0.42857142857142855,0.4,3.6666666666666665,6.888888888888889,0.13482299999623137
standard,ddqn_303,1000001,37,26,18,9,10,6,2,85,71,71,39,39,106.59000000000003,0.4864864864864865,0.7027027027027027,0.6,2.730769230769231,1.5,0.12862399998425644
standard,ddqn_303,1000002,34,19,11,9,6,5,6,82,72,72,42,111,-43.03,0.3235294117647059,0.5588235294117647,0.8333333333333334,3.789473684210526,5.842105263157895,0.13316050001321855
standard,ddqn_303,1000003,38,18,8,16,11,4,4,80,69,69,39,132,-163.96000000000004,0.21052631578947367,0.47368421052631576,0.36363636363636365,3.8333333333333335,7.333333333333333,0.1356745000009596
standard,ddqn_303,1000004,28,18,14,5,7,5,5,85,73,73,48,33,43.48000000000002,0.5,0.6428571428571429,0.7142857142857143,4.055555555555555,1.8333333333333333,0.13234899998337823
standard,ddqn_303,1000005,25,22,11,0,7,4,3,81,72,72,42,76,182.52,0.44,0.88,0.5714285714285714,3.272727272727273,3.4545454545454546,0.13354200001458594
standard,ddqn_303,1000006,28,20,10,5,8,5,3,82,69,69,39,116,73.53999999999996,0.35714285714285715,0.7142857142857143,0.625,3.45,5.8,0.1308580000056736
standard,ddqn_303,1000007,29,24,12,2,7,5,3,82,72,72,42,67,187.32000000000002,0.41379310344827586,0.8275862068965517,0.7142857142857143,3.0,2.7916666666666665,0.12917950002133693
standard,ddqn_303,1000008,36,18,8,13,9,5,5,87,68,68,36,92,-122.83999999999993,0.2222222222222222,0.5,0.5555555555555556,3.7777777777777777,5.111111111111111,0.1280134999888105
standard,ddqn_303,1000009,32,20,8,9,9,3,3,75,71,71,39,124,-30.459999999999976,0.25,0.625,0.3333333333333333,3.55,6.2,0.1346884999975373
standard,ddqn_303,1000010,18,15,11,0,8,6,3,69,62,62,33,27,148.87999999999994,0.6111111111111112,0.8333333333333334,0.75,4.133333333333334,1.8,0.12201399997024964
standard,ddqn_303,1000011,34,25,13,5,6,4,4,82,75,75,45,76,124.50000000000001,0.38235294117647056,0.7352941176470589,0.6666666666666666,3.0,3.04,0.12944050001806318
standard,ddqn_303,1000012,31,18,10,6,7,3,7,79,64,64,36,88,-10.939999999999984,0.3225806451612903,0.5806451612903226,0.42857142857142855,3.5555555555555554,4.888888888888889,0.13287049998211842
standard,ddqn_303,1000013,23,19,11,0,3,2,4,74,67,67,42,68,104.02000000000001,0.4782608695652174,0.8260869565217391,0.6666666666666666,3.526315789473684,3.5789473684210527,0.1267365000217069
standard,ddqn_303,1000014,23,15,9,3,5,2,5,80,66,66,44,51,-36.06000000000006,0.391304347826087,0.6521739130434783,0.4,4.4,3.4,0.12103299997079375
standard,ddqn_303,1000015,25,20,10,1,6,2,4,75,67,67,36,103,103.61000000000001,0.4,0.8,0.3333333333333333,3.35,5.15,0.1260754999918845
standard,ddqn_303,1000016,25,18,7,2,8,3,5,79,67,67,41,115,75.06,0.28,0.72,0.375,3.7222222222222223,6.388888888888889,0.12903949999554243
standard,ddqn_303,1000017,25,20,13,1,8,5,4,86,70,70,39,74,99.98999999999995,0.52,0.8,0.625,3.5,3.7,0.12493349998976555
standard,ddqn_303,1000018,36,19,11,12,9,4,5,78,63,63,48,67,-48.62000000000001,0.3055555555555556,0.5277777777777778,0.4444444444444444,3.3157894736842106,3.526315789473684,0.12634049997473085
standard,ddqn_303,1000019,28,19,13,6,7,5,3,66,61,61,41,28,64.51,0.4642857142857143,0.6785714285714286,0.7142857142857143,3.210526315789474,1.4736842105263157,0.1141470000334266
standard,ddqn_303,1000020,22,15,7,2,9,5,5,84,62,62,33,93,9.880000000000052,0.3181818181818182,0.6818181818181818,0.5555555555555556,4.133333333333334,6.2,0.1284690000034061
standard,ddqn_303,1000021,38,18,8,13,11,4,7,75,63,63,30,90,-168.05,0.21052631578947367,0.47368421052631576,0.36363636363636365,3.5,5.0,0.13107699999181932
standard,ddqn_303,1000022,43,20,13,17,7,4,6,79,68,68,38,71,-131.22000000000006,0.3023255813953488,0.46511627906976744,0.5714285714285714,3.4,3.55,0.1289895000127217
standard,ddqn_303,1000023,35,16,6,12,3,2,7,82,66,66,42,122,-158.42999999999998,0.17142857142857143,0.45714285714285713,0.6666666666666666,4.125,7.625,0.12999600002672196
standard,ddqn_303,1000024,27,14,11,5,7,2,8,58,54,54,37,24,-77.83000000000001,0.4074074074074074,0.5185185185185185,0.2857142857142857,3.857142857142857,1.7142857142857142,0.1295604999995703
standard,ddqn_303,1000025,27,20,9,4,7,3,3,84,64,64,37,98,104.01999999999995,0.3333333333333333,0.7407407407407407,0.42857142857142855,3.2,4.9,0.1253690000169172
standard,ddqn_303,1000026,37,23,11,12,14,4,2,77,68,68,37,114,-30.479999999999972,0.2972972972972973,0.6216216216216216,0.2857142857142857,2.9565217391304346,4.956521739130435,0.12925500001870205
standard,ddqn_303,1000027,22,16,10,1,7,4,5,81,63,63,48,29,54.88000000000004,0.45454545454545453,0.7272727272727273,0.5714285714285714,3.9375,1.8125,0.12507899998581706
standard,ddqn_303,1000028,25,20,11,1,9,7,4,85,69,69,39,93,110.58999999999995,0.44,0.8,0.7777777777777778,3.45,4.65,0.12746199999469354
standard,ddqn_303,1000029,32,15,7,11,9,3,6,80,62,62,43,94,-159.62000000000003,0.21875,0.46875,0.3333333333333333,4.133333333333334,6.266666666666667,0.13193350000051396
standard,ddqn_303,1000030,32,22,15,5,9,5,5,79,77,77,54,74,94.54000000000002,0.46875,0.6875,0.5555555555555556,3.5,3.3636363636363638,0.1307174999851668
standard,ddqn_303,1000031,30,18,15,5,12,8,7,72,62,62,30,32,-6.9500000000000455,0.5,0.6,0.6666666666666666,3.4444444444444446,1.7777777777777777,0.12603499999386258
standard,ddqn_303,1000032,18,18,15,0,3,2,0,76,64,64,51,45,165.9099999999999,0.8333333333333334,1.0,0.6666666666666666,3.5555555555555554,2.5,0.11287000000947955
standard,ddqn_303,1000033,24,18,14,0,10,7,6,78,68,68,42,35,99.66999999999999,0.5833333333333334,0.75,0.7,3.7777777777777777,1.9444444444444444,0.12325599999485348
standard,ddqn_303,1000034,23,21,14,0,3,3,2,80,74,74,48,49,162.08,0.6086956521739131,0.9130434782608695,1.0,3.5238095238095237,2.3333333333333335,0.12015600000836457
standard,ddqn_303,1000035,35,19,12,11,10,6,5,85,66,66,50,96,-87.50000000000001,0.34285714285714286,0.5428571428571428,0.6,3.473684210526316,5.052631578947368,0.12782300001390468
standard,ddqn_303,1000036,35,20,10,9,5,3,6,85,70,70,36,94,-40.19000000000003,0.2857142857142857,0.5714285714285714,0.6,3.5,4.7,0.1320944999747553
standard,ddqn_303,1000037,30,18,9,7,7,3,5,76,63,63,41,100,-44.99000000000001,0.3,0.6,0.42857142857142855,3.5,5.555555555555555,0.13070149995542124
standard,ddqn_303,1000038,28,17,11,1,5,2,10,69,55,55,55,17,-52.00000000000003,0.39285714285714285,0.6071428571428571,0.4,3.235294117647059,1.0,0.13092249997725958
standard,ddqn_303,1000039,33,19,10,9,3,1,5,84,72,72,42,121,-71.78,0.30303030303030304,0.5757575757575758,0.3333333333333333,3.789473684210526,6.368421052631579,0.12869400001136455
standard,ddqn_303,1000040,37,23,9,12,6,3,2,72,68,68,39,108,-23.15999999999999,0.24324324324324326,0.6216216216216216,0.5,2.9565217391304346,4.695652173913044,0.13336549997688962
standard,ddqn_303,1000041,43,20,8,19,12,5,4,79,71,71,39,85,-125.95999999999998,0.18604651162790697,0.46511627906976744,0.4166666666666667,3.55,4.25,0.1293099999770675
standard,ddqn_303,1000042,21,18,10,0,3,3,3,82,70,70,42,41,122.52000000000001,0.47619047619047616,0.8571428571428571,1.0,3.888888888888889,2.2777777777777777,0.11584949999132732
standard,ddqn_303,1000043,23,20,14,0,4,2,3,76,62,62,30,38,152.3499999999999,0.6086956521739131,0.8695652173913043,0.5,3.1,1.9,0.11425200000303448
standard,ddqn_303,1000044,25,23,12,1,5,3,1,86,74,74,39,52,181.79000000000002,0.48,0.92,0.6,3.217391304347826,2.260869565217391,0.12057649999519526
standard,ddqn_303,1000045,28,16,4,8,3,1,4,77,65,65,39,119,-42.360000000000014,0.14285714285714285,0.5714285714285714,0.3333333333333333,4.0625,7.4375,0.12838400002124217
standard,ddqn_303,1000046,29,21,7,5,8,4,3,82,70,70,53,163,63.730000000000004,0.2413793103448276,0.7241379310344828,0.5,3.3333333333333335,7.761904761904762,0.13049149998778375
standard,ddqn_303,1000047,25,16,10,3,10,6,6,74,58,58,33,89,29.830000000000048,0.4,0.64,0.6,3.625,5.5625,0.12673599999857288
standard,ddqn_303,1000048,38,18,8,13,11,6,7,85,72,72,45,126,-142.7,0.21052631578947367,0.47368421052631576,0.5454545454545454,4.0,7.0,0.13300049997155838
standard,ddqn_303,1000049,35,21,9,11,11,5,3,77,73,73,51,127,11.459999999999987,0.2571428571428571,0.6,0.45454545454545453,3.4761904761904763,6.0476190476190474,0.13196899999456946
standard,ddqn_303,1000050,34,19,9,9,10,5,6,86,72,72,42,118,-54.179999999999986,0.2647058823529412,0.5588235294117647,0.5,3.789473684210526,6.2105263157894735,0.12977100001876352
standard,ddqn_303,1000051,32,20,9,7,9,2,5,80,65,65,41,116,-16.690000000000012,0.28125,0.625,0.2222222222222222,3.25,5.8,0.13055200000167133
standard,ddqn_303,1000052,33,18,11,10,9,6,5,80,65,65,36,107,-52.58999999999997,0.3333333333333333,0.5454545454545454,0.6666666666666666,3.611111111111111,5.944444444444445,0.1268464999952812
standard,ddqn_303,1000053,27,23,17,2,7,5,2,83,72,72,41,17,216.01000000000002,0.6296296296296297,0.8518518518518519,0.7142857142857143,3.130434782608696,0.7391304347826086,0.11501849999717706
standard,ddqn_303,1000054,25,20,13,0,8,6,5,83,69,69,36,62,132.46,0.52,0.8,0.75,3.45,3.1,0.12245950000533412
standard,ddqn_303,1000055,32,22,8,7,1,0,3,87,77,77,45,161,-1.5000000000000142,0.25,0.6875,0.0,3.5,7.318181818181818,0.12682150000387082
standard,ddqn_303,1000056,26,20,9,2,6,2,4,78,66,66,43,79,105.82999999999997,0.34615384615384615,0.7692307692307693,0.3333333333333333,3.3,3.95,0.1277974999993603
standard,ddqn_303,1000057,36,21,12,11,9,5,4,79,71,71,45,113,-26.45000000000001,0.3333333333333333,0.5833333333333334,0.5555555555555556,3.380952380952381,5.380952380952381,0.1291694999849824
standard,ddqn_303,1000058,37,18,9,12,10,6,7,82,74,74,40,79,-109.55,0.24324324324324326,0.4864864864864865,0.6,4.111111111111111,4.388888888888889,0.13304550000725612
standard,ddqn_303,1000059,38,20,10,14,9,4,4,86,78,78,48,111,-97.42000000000002,0.2631578947368421,0.5263157894736842,0.4444444444444444,3.9,5.55,0.1313180000011016
standard,ddqn_303,1000060,28,22,14,1,2,0,5,79,70,70,36,29,118.01000000000008,0.5,0.7857142857142857,0.0,3.1818181818181817,1.3181818181818181,0.12893950000147925
standard,ddqn_303,1000061,30,21,12,4,8,5,5,76,71,71,48,92,52.72999999999999,0.4,0.7,0.625,3.380952380952381,4.380952380952381,0.12891400001535658
standard,ddqn_303,1000062,28,19,13,3,6,3,6,74,67,67,36,49,-5.389999999999986,0.4642857142857143,0.6785714285714286,0.5,3.526315789473684,2.5789473684210527,0.12538900000436115
standard,ddqn_303,1000063,28,22,14,2,5,3,4,83,70,70,45,51,113.95000000000007,0.5,0.7857142857142857,0.6,3.1818181818181817,2.3181818181818183,0.12531950000038705
standard,ddqn_303,1000064,26,20,15,0,6,4,6,80,70,70,40,28,105.0499999999999,0.5769230769230769,0.7692307692307693,0.6666666666666666,3.5,1.4,0.12596000001963148
standard,ddqn_303,1000065,26,19,9,3,4,2,4,76,60,60,35,91,46.949999999999925,0.34615384615384615,0.7307692307692307,0.5,3.1578947368421053,4.7894736842105265,0.12471799999502764
standard,ddqn_303,1000066,28,21,17,2,6,4,5,83,73,73,45,38,79.60000000000002,0.6071428571428571,0.75,0.6666666666666666,3.4761904761904763,1.8095238095238095,0.1270914999906836
standard,ddqn_303,1000067,29,19,8,4,5,2,6,71,69,69,42,107,-6.829999999999984,0.27586206896551724,0.6551724137931034,0.4,3.6315789473684212,5.631578947368421,0.128749499992864
standard,ddqn_303,1000068,24,18,11,2,4,3,4,84,69,69,40,73,70.10000000000004,0.4583333333333333,0.75,0.75,3.8333333333333335,4.055555555555555,0.12008600000967817
standard,ddqn_303,1000069,29,21,14,5,7,4,3,79,69,69,45,65,89.25000000000009,0.4827586206896552,0.7241379310344828,0.5714285714285714,3.2857142857142856,3.0952380952380953,0.12566949996539734
standard,ddqn_303,1000070,34,24,11,9,9,5,1,84,73,73,45,98,53.700000000000024,0.3235294117647059,0.7058823529411765,0.5555555555555556,3.0416666666666665,4.083333333333333,0.12814300001195988
standard,ddqn_303,1000071,36,20,10,11,6,4,5,77,65,65,44,100,-40.11,0.2777777777777778,0.5555555555555556,0.6666666666666666,3.25,5.0,0.12961050001081276
standard,ddqn_303,1000072,23,20,15,0,6,5,3,76,67,67,42,11,158.97000000000003,0.6521739130434783,0.8695652173913043,0.8333333333333334,3.35,0.55,0.11945500000365428
standard,ddqn_303,1000073,26,17,9,4,8,2,5,70,70,70,54,119,-25.61000000000002,0.34615384615384615,0.6538461538461539,0.25,4.117647058823529,7.0,0.1311074999819084
standard,ddqn_303,1000074,35,16,9,12,10,4,7,82,68,68,45,111,-182.5,0.2571428571428571,0.45714285714285713,0.4,4.25,6.9375,0.128678500004753
standard,ddqn_303,1000075,26,19,6,3,2,0,4,82,66,66,36,111,-19.639999999999972,0.23076923076923078,0.7307692307692307,0.0,3.473684210526316,5.842105263157895,0.1248080000095797
standard,ddqn_303,1000076,29,17,9,6,10,5,6,75,69,69,50,87,-45.34999999999995,0.3103448275862069,0.5862068965517241,0.5,4.0588235294117645,5.117647058823529,0.1293149999810339
standard,ddqn_303,1000077,35,19,8,14,11,5,2,83,71,71,48,195,-127.47000000000008,0.22857142857142856,0.5428571428571428,0.45454545454545453,3.736842105263158,10.263157894736842,0.13382649999016394
standard,ddqn_303,1000078,29,15,9,7,9,4,7,79,63,63,36,80,-103.13999999999997,0.3103448275862069,0.5172413793103449,0.4444444444444444,4.2,5.333333333333333,0.1285389999736708
standard,ddqn_303,1000079,33,20,10,8,8,5,5,79,68,68,49,123,-9.359999999999992,0.30303030303030304,0.6060606060606061,0.625,3.4,6.15,0.13010649999500856
standard,ddqn_303,1000080,39,22,9,13,12,4,4,77,67,67,39,176,-92.80999999999999,0.23076923076923078,0.5641025641025641,0.3333333333333333,3.0454545454545454,8.0,0.138628999991397
standard,ddqn_303,1000081,28,18,8,5,6,2,5,76,63,63,30,84,-2.6000000000000014,0.2857142857142857,0.6428571428571429,0.3333333333333333,3.5,4.666666666666667,0.1299104999930023
standard,ddqn_303,1000082,31,21,10,6,4,2,4,82,73,73,54,111,18.589999999999996,0.3225806451612903,0.6774193548387096,0.5,3.4761904761904763,5.285714285714286,0.13285549999864088
standard,ddqn_303,1000083,25,20,11,3,7,6,2,83,67,67,33,82,139.32999999999998,0.44,0.8,0.8571428571428571,3.35,4.1,0.12851349998754813
standard,ddqn_303,1000084,21,20,15,0,4,3,1,80,70,70,40,33,185.94999999999993,0.7142857142857143,0.9523809523809523,0.75,3.5,1.65,0.11412200001359452
standard,ddqn_303,1000085,30,22,11,4,3,2,4,83,73,73,45,127,41.94999999999999,0.36666666666666664,0.7333333333333333,0.6666666666666666,3.3181818181818183,5.7727272727272725,0.13449799999420975
standard,ddqn_303,1000086,26,18,9,3,6,4,5,80,64,64,48,82,59.27999999999992,0.34615384615384615,0.6923076923076923,0.6666666666666666,3.5555555555555554,4.555555555555555,0.1311680000242177
standard,ddqn_303,1000087,25,17,6,5,7,2,3,87,71,71,42,136,-15.230000000000013,0.24,0.68,0.2857142857142857,4.176470588235294,8.0,0.1292050000358813
standard,ddqn_303,1000088,22,17,11,0,6,5,5,79,65,65,42,65,95.62000000000002,0.5,0.7727272727272727,0.8333333333333334,3.823529411764706,3.823529411764706,0.12342049998892435
standard,ddqn_303,1000089,23,22,20,0,5,5,1,77,67,67,56,7,228.4600000000001,0.8695652173913043,0.9565217391304348,1.0,3.0454545454545454,0.3181818181818182,0.11296549999428862
standard,ddqn_303,1000090,31,16,9,9,13,6,6,59,53,53,53,35,-70.26999999999995,0.2903225806451613,0.5161290322580645,0.46153846153846156,3.3125,2.1875,0.12869950001004327
standard,ddqn_303,1000091,30,18,10,8,9,2,4,83,73,73,43,78,-24.37000000000002,0.3333333333333333,0.6,0.2222222222222222,4.055555555555555,4.333333333333333,0.12443300002473734
standard,ddqn_303,1000092,26,14,12,4,6,3,8,61,47,47,21,12,-92.49,0.46153846153846156,0.5384615384615384,0.5,3.357142857142857,0.8571428571428571,0.12727650002375412
standard,ddqn_303,1000093,33,18,9,8,7,4,7,85,75,75,57,96,-93.08000000000001,0.2727272727272727,0.5454545454545454,0.5714285714285714,4.166666666666667,5.333333333333333,0.1283890000252086
standard,ddqn_303,1000094,31,20,9,8,14,7,3,83,70,70,36,102,59.310000000000045,0.2903225806451613,0.6451612903225806,0.5,3.5,5.1,0.12495350000563121
standard,ddqn_303,1000095,20,20,19,0,5,5,0,80,64,64,43,11,220.43000000000006,0.95,1.0,1.0,3.2,0.55,0.1050430000191227
standard,ddqn_303,1000096,35,13,5,12,9,3,10,62,54,54,54,24,-278.01,0.14285714285714285,0.37142857142857144,0.3333333333333333,4.153846153846154,1.8461538461538463,0.13239449998536656
standard,ddqn_303,1000097,34,21,9,11,15,5,2,81,71,71,36,138,-7.34,0.2647058823529412,0.6176470588235294,0.3333333333333333,3.380952380952381,6.571428571428571,0.12983049998638307
standard,ddqn_303,1000098,25,22,10,1,6,4,2,84,73,73,45,91,177.1,0.4,0.88,0.6666666666666666,3.3181818181818183,4.136363636363637,0.12160349999135178
standard,ddqn_303,1000099,29,19,8,5,7,2,5,77,68,68,42,98,-27.380000000000024,0.27586206896551724,0.6551724137931034,0.2857142857142857,3.5789473684210527,5.157894736842105,0.12862899998822286
standard,ddqn_303,1000100,28,19,10,3,7,1,6,82,68,68,39,73,-7.3100000000000165,0.35714285714285715,0.6785714285714286,0.14285714285714285,3.5789473684210527,3.8421052631578947,0.12499850001290724
standard,ddqn_303,1000101,29,20,9,4,10,6,5,76,60,60,33,120,60.53000000000003,0.3103448275862069,0.6896551724137931,0.6,3.0,6.0,0.12603000001831788
standard,ddqn_303,1000102,30,23,17,3,8,7,4,79,75,75,52,64,136.9200000000002,0.5666666666666667,0.7666666666666667,0.875,3.260869565217391,2.782608695652174,0.12858449997565913
standard,ddqn_303,1000103,38,25,11,8,11,7,5,84,72,72,42,116,77.47000000000001,0.2894736842105263,0.6578947368421053,0.6363636363636364,2.88,4.64,0.12986100003331558
standard,ddqn_303,1000104,23,22,15,0,6,6,1,79,66,66,52,53,219.81999999999994,0.6521739130434783,0.9565217391304348,1.0,3.0,2.409090909090909,0.12047150002558737
